name,quote
John Muir,"Come to the woods, for here is rest. There is no repose like that of the green deep woods. Here grow the wallflower and the violet. The squirrel will come and sit upon your knee, the logcock will wake you in the morning. Sleep in forgetfulness of all ill. Of all the upness accessible to mortals, there is no upness comparable to the mountains."
John Muir,"No synonym for God is so perfect as Beauty. Whether as seen carving the lines of the mountains with glaciers, or gathering matter into stars, or planning the movements of water, or gardening - still all is Beauty!"
John Muir,"We all flow from one fountain Soul. All are expressions of one Love. God does not appear, and flow out, only from narrow chinks and round bored wells here and there in favored races and places, but He flows in grand undivided currents, shoreless and boundless over creeds and forms and all kinds of civilizations and peoples and beasts, saturating all and fountainizing all."
John Muir,"In God's wildness lies the hope of the world - the great fresh unblighted, unredeemed wilderness. The galling harness of civilization drops off, and wounds heal ere we are aware."
John Muir,The clearest way into the Universe is through a forest wilderness.
John Muir,"Fresh beauty opens one's eyes wherever it is really seen, but the very abundance and completeness of the common beauty that besets our steps prevents its being absorbed and appreciated. It is a good thing, therefore, to make short excursions now and then to the bottom of the sea among dulse and coral, or up among the clouds on mountain-tops, or in balloons, or even to creep like worms into dark holes and caverns underground, not only to learn something of what is going on in those out-of-the-way places, but to see better what the sun sees on our return to common everyday beauty."
John Muir,"The wrongs done to trees, wrongs of every sort, are done in the darkness of ignorance and unbelief, for when the light comes, the heart of the people is always right."
John Muir,"When we try to pick out anything by itself, we find it hitched to everything else in the Universe."
John Muir,"Climb the mountains and get their good tidings. Nature's peace will flow into you as sunshine flows into trees. The winds will blow their own freshness into you, and the storms their energy, while cares will drop away from you like the leaves of Autumn."
John Muir,"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean. None of Nature's landscapes are ugly so long as they are wild."
John Muir,"Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul alike."
John Muir,"When we contemplate the whole globe as one great dewdrop, striped and dotted with continents and islands, flying through space with other stars all singing and shining together as one, the whole universe appears as an infinite storm of beauty."
Wolfgang Amadeus Mozart,". . . .When I am, as it were, completely myself, entirely alone, and of good cheer - say traveling in a carriage, or walking after a good meal, or during the night when I cannot sleep - it is on such occasions that my ideas flow best, and most abundantly. Whence and how they come, I know not, nor can I force them..."
Wolfgang Amadeus Mozart,I pay no attention whatever to anybody's praise or blame. I simply follow my own feelings.
Wolfgang Amadeus Mozart,"Nevertheless the passions, whether violent or not, should never be so expressed as to reach the point of causing disgust; and music, even in situations of the greatest horror, should never be painful to the ear but should flatter and charm it, and thereby always remain music."
Walter R. Mueller,The difference between visionaries and dreamers is that visionaries make the dreams come true.
Patricia Moyes,I simply cannot understand the passion that some people have for making themselves thoroughly uncomfortable and then boasting about it afterwards.
Mickey Mouse,Arithmetic is being able to count up to twenty without taking off your shoes.
John L. Motley,"Deeds, not stones, are the true monuments of the great."
Mother Teresa,God doesn't require us to succeed; he only requires that you try.
Mother Teresa,"I have found the paradox that if I love until it hurts, then there is no hurt, but only more love."
Mother Teresa,I know God will not give me anything I can't handle. I just wish that He didn't trust me so much.
Mother Teresa,"If we have no peace, it is because we have forgotten that we belong to each other."
Mother Teresa,"If you can't feed a hundred people, then feed just one."
Mother Teresa,"If you find serenity and happiness, some people may be jealous. Be happy anyway."
Mother Teresa,"If you judge people, you have no time to love them."
Mother Teresa,"Intense love does not measure, it just gives."
Mother Teresa,It is easy to love the people far away. It is not always easy to love those close to us. It is easier to give a cup of rice to relieve hunger than to relieve the loneliness and pain of someone unloved in our home. Bring love into your home for this is where our love for each other must start.
Mother Teresa,"It's not how much we give, but how much love we put into giving."
Mother Teresa,Joy is prayer - Joy is strength - Joy is love - Joy is a net of love by which you can catch souls.
Mother Teresa,"Kind words can be short and easy to speak, but their echoes are truly endless."
Mother Teresa,Let no one ever come to you without leaving better and happier.
Mother Teresa,"The good you do today, people will often forget tomorrow; Do good anyway."
Mother Teresa,The most terrible poverty is loneliness and the feeling of being unloved.
Mother Teresa,"There are many in the world dying for a piece of bread, but there are many more dying for a little love."
Mother Teresa,We can do no great things; only small things with great love.
Mother Teresa,"What we do is less than a drop in the ocean. But if it were missing, the ocean would lack something."
Mother Teresa,"Whether one is Hindu or a Muslim or a Christian, how you live your life is proof that you are or not fully His. We cannot condemn or judge or pass words that will hurt people. We don't know in what way God is appearing to that soul and what God is drawing that soul to; therefor, who are we to condemn anybody?"
Mother Teresa,"Please choose the way of peace. ... In the short term there may be winners and losers in this war that we all dread. But that never can, nor never will justify the suffering, pain and loss of life your weapons will cause."
Doris Mortman,"Until you make peace with who you are, you'll never be content with what you have."
Lance Morrow,Leaders make things possible. Exceptional leaders make them inevitable.
Dwight D. Morrow,Any party which takes credit for the rain must not be surprised if its opponents blame it for the drought.
Dwight W. Morrow,Any party which takes credit for the rain must not be surprised if its opponents blame it for the draught.
Toni Morrison,"She is a friend of my mind... The pieces I am, she gather them and give them back to me in all the right order."
Toni Morrison,Love is or it ain't. Thin love ain't love at all.
Jim Morrison,Death is only going to happen to you once; I don't want to miss it.
Jim Morrison,"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free."
Jim Morrison,Hatred is a very underestimated emotion.
Jim Morrison,"I think of myself as an intelligent, sensitive human being with the soul of a clown which always forces me to blow it at the most important moments."
Jim Morrison,Violence isn't always evil. What's evil is the infatuation with violence.
Jim Morrison,Some of the worst mistakes of my life have been haircuts.
Tom Morris,The only way most people recognize their limits is by trespassing on them.
Desmond Morris,We never stop investigating. We are never satisfied that we know enough to get by. Every question we answer leads on to another question. This has become the greatest survival trick of our species.
Robert Morley,Anyone who works is a fool. I don't work - I merely inflict myself upon the public.
John Viscount Morley,"Even good opinions are worth very little unless we hold them in the broad, intelligent, and spacious way."
John Viscount Morley,You have not converted a man because you have silenced him.
John Viscount Morley,It is not enough to do good; one must do it the right way.
Christopher Morley,Cherish all your happy moments: they make a fine cushion for old age.
Christopher Morley,Life is a foreign language; all men mispronounce it.
Christopher Morley,"My theology, briefly, is that the universe was dictated but not signed."
Christopher Morley,No one appreciates the very special genius of your conversations as a dog does. 
Christopher Morley,"Read, every day, something no one else is reading. Think, every day, something no one else is thinking. Do, every day, something no one else would be silly enough to do. It is bad for the mind to be always part of unanimity."
Christopher Morley,There is no mistaking a real book when one meets it. It is like falling in love.
Christopher Morley,There is only one success - to be able to spend your life in your own way.
Christopher Morley,"There is only one success... to be able to spend your life in your own way, and not to give others absurd maddening claims upon it."
Akio Morita,Curiosity is the key to creativity.
Alanis Morissette,"I see my body as an instrument, rather than an ornament."
Thomas Moriarty,"Laws not enforced cease to be laws, and rights not defended may wither away."
Julie Morgenstern,"If you're afraid to let someone else see your weakness, take heart: Nobody's perfect. Besides, your attempts to hide your flaws don't work as well as you think they do."
Julie Morgenstern,How we treasure (and admire) the people who acknowledge us!
Ted Morgan,"Howard Hughes was able to afford the luxury of madness, like a man who not only thinks he is Napoleon but hires an army to prove it."
Robin Morgan,"Don't accept rides from strange men, and remember that all men are strange."
Robin Morgan,Women are not inherently passive or peaceful. We're not inherently anything but human.
J. Pierpont Morgan,A man always has two reasons for what he does-a good one and the real one.
Henry Morgan,A kleptomaniac is a person who helps himself because he can't help himself.
Jeanne Moreau,"Age does not protect you from love. But love, to some extent, protects you from age."
