name,quote
Jeanne Moreau,"I don't think success is harmful, as so many people say. Rather, I believe it indispensable to talent, if for nothing else than to increase the talent."
Sir Thomas More,"Nay, tempt me not to love again:"
Sir Thomas More, There was a time when love was sweet;
Sir Thomas More," Dear Nea! had I known thee then,"
Sir Thomas More, Our souls had not been slow to meet!
Sir Thomas More, But oh! this weary heart hath run
Sir Thomas More," So many a time the rounds of pain,"
Sir Thomas More," Not even for thee, thou lovely one!"
Sir Thomas More, Would I endure such pangs again.
Sir Thomas More,Why dost thou gaze upon the sky?
Sir Thomas More, O that I were yon spangled sphere!
Sir Thomas More," Then every star should be an eye,"
Sir Thomas More, To wander o'er thy beauties here.
Sir Thomas More,This hath not offended the king.
Sir Thomas More,"They wonder much to hear that gold, which in itself is so useless a thing, should be everywhere so much esteemed, that even men for whom it was made, and by whom it has its value, should yet be thought of less value than it is."
Sir Thomas More,"A little wanton money, which burned out the bottom of his purse."
Hannah More,"One kernel is felt in a hogshead; one drop of water helps to swell the ocean; a spark of fire helps to give light to the world. None are too small, too feeble, too poor to be of service. Think of this and act."
Moralia,"Do not fight verbosity with words: speech is given to all, intelligence to few."
Cherrie Moraga,"When you are not physically starving, you have the luxury to realize psychic and emotional starvation."
Thomas Moore,"By learning to discover and value our ordinariness, we nurture a friendliness toward ourselves and the world that is the essence of a healthy soul."
Thomas Moore,The ordinary acts we practice every day at home are of more importance to the soul than their simplicity might suggest.
Thomas Moore,"To the soul, there is hardly anything more healing than friendship."
Roger Moore,I enjoy being a highly overpaid actor.
Mary Tyler Moore,Having a dream is what keeps you alive. Overcoming the challenges make life worth living.
Mary Tyler Moore,Pain nourishes courage. You can't be brave if you've only had wonderful things happen to you.
Mary Tyler Moore,"Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail in order to practice being brave."
Mary Tyler Moore,I'm an experienced woman; I've been around...
Mary Tyler Moore," well, alright, I might not've been around, but I've been... nearby."
Mary Tyler Moore,Sometimes you have to get to know someone really well to realize you're really strangers.
Henry Moore,One never knows what each day is going to bring. The important thing is to be open and ready for it.
George Moore,A man travels the world over in search of what he needs and returns home to find it.
George Moore,"When any man is more stupidly vain and outrageously egotistic than his fellows, he will hide his hideousness in humanitarianism."
Dudley Moore,The best car safety device is a rear-view mirror with a cop in it.
Alan Moore,Existence is random. Has no pattern save what we imagine after staring at it for too long. No meaning save what we choose to impose.
Alan Moore,Part of being a hero is knowing when you don't need to be one anymore.
Alan Moore,There's no such thing as quitting. Just sometimes there's a longer pause between relapses.
Elizabeth Moon,"It's all knowing what to start with. If you start in the right place and follow all the steps, you will get to the right end."
Elizabeth Moon,"No matter what I do, no matter how predictable I try to make my life, it will not be any more predictable than the rest of the world. Which is chaotic."
Elizabeth Moon,One thing nobody can do better than you is be you.
Elizabeth Moon,"People are people, messy and mutable, combining differently with one another from day to day - even hour to hour."
D. L. Moody,"If I take care of my character, my reputation will take care of itself. "
L. M. Montgomery,"A child that has a quick temper, just blaze up and cool down, ain't never likely to be sly or deceitful."
L. M. Montgomery,ALL things great are wound up with all things little.
L. M. Montgomery,An old house with its windows gone always makes me think of something dead with its eyes picked out.
L. M. Montgomery,But the worst of imagining things is that the time comes when you have to stop and that hurts.
L. M. Montgomery,Cakes have such a terrible habit of turning out bad just when you especially want them to be good.
L. M. Montgomery,Doesn't matter what a person's name is as long as he behaves himself.
L. M. Montgomery,Don't believe in imagining things different from what they really are. When the Lord puts us in certain circumstances He doesn't mean for us to imagine them away.
L. M. Montgomery,"Folks that has brought up children know that there's no hard and fast method in the world that'll suit every child. But them as never have think it's all as plain and easy as Rule of Three—just set your three terms down so fashion, and the sum'll work out correct."
